match_id,season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,home_team,month,day,day_name,ms_batting_team,ms_bowling_team,ms_runs_scored,ms_wickets,ms_fours,ms_sixes,ms_dots,ms_no_balls,ms_wides
1359532,2023,Sunrisers Hyderabad,Lucknow Super Giants,2023-05-13,58,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,bat,PN Mankad,A Totre,J Madanagopal,Mohamad Rafi,P Dharmani,Lucknow Super Giants,,7.0,Group,Sunrisers Hyderabad,May,13,Saturday,Lucknow Super Giants,Sunrisers Hyderabad,,3,15,10,0,,5
1359483,2023,Kolkata Knight Riders,Royal Challengers Bangalore,2023-04-06,9,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,SN Thakur,Vinod Seshan,VK Sharma,A Bengeri,Shakti Singh,Kolkata Knight Riders,81.0,,Group,Kolkata Knight Riders,April,6,Thursday,Royal Challengers Bangalore,Kolkata Knight Riders,,10,12,4,0,,1
1359518,2023,Delhi Capitals,Gujarat Titans,2023-05-02,44,Narendra Modi Stadium,Ahmedabad,Delhi Capitals,bat,Mohammed Shami,MA Gough,R Pandit,P Joshi,V Narayan Kutty,Delhi Capitals,5.0,,Group,Gujarat Titans,May,2,Tuesday,Gujarat Titans,Delhi Capitals,,6,9,4,0,,5
1359532,2023,Sunrisers Hyderabad,Lucknow Super Giants,2023-05-13,58,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,bat,PN Mankad,A Totre,J Madanagopal,Mohamad Rafi,P Dharmani,Lucknow Super Giants,,7.0,Group,Sunrisers Hyderabad,May,13,Saturday,Sunrisers Hyderabad,Lucknow Super Giants,,6,18,8,0,1,2
1359506,2023,Royal Challengers Bangalore,Rajasthan Royals,2023-04-23,32,M Chinnaswamy Stadium,Bengaluru,Rajasthan Royals,field,GJ Maxwell,MA Gough,MV Saidharshan Kumar,Abhijit Bhattacharya,Amit Sharma,Royal Challengers Bangalore,7.0,,Group,Royal Challengers Bangalore,April,23,Sunday,Royal Challengers Bangalore,Rajasthan Royals,,9,18,6,0,,10
1359489,2023,Royal Challengers Bangalore,Lucknow Super Giants,2023-04-10,15,M Chinnaswamy Stadium,Bengaluru,Lucknow Super Giants,field,N Pooran,AK Chaudhary,A Nand Kishore,M Kuppuraj,DS Manohar,Lucknow Super Giants,,1.0,Group,Royal Challengers Bangalore,April,10,Monday,Lucknow Super Giants,Royal Challengers Bangalore,,9,17,12,0,,9
1359531,2023,Mumbai Indians,Gujarat Titans,2023-05-12,57,Wankhede Stadium,Mumbai,Gujarat Titans,field,SA Yadav,Nitin Menon,Tapan Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,27.0,,Group,Mumbai Indians,May,12,Friday,Mumbai Indians,Gujarat Titans,,5,22,12,0,,
1359541,2023,Chennai Super Kings,Delhi Capitals,2023-05-20,67,Arun Jaitley Stadium,Delhi,Chennai Super Kings,bat,RD Gaikwad,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,77.0,,Group,Delhi Capitals,May,20,Saturday,Delhi Capitals,Chennai Super Kings,,9,11,6,0,,8
1370350,2023,Chennai Super Kings,Gujarat Titans,2023-05-23,71,MA Chidambaram Stadium,Chennai,Gujarat Titans,field,RD Gaikwad,AK Chaudhary,CB Gaffaney,VK Sharma,M Nayyar,Chennai Super Kings,15.0,,Qualifier,Chennai Super Kings,May,23,Tuesday,Chennai Super Kings,Gujarat Titans,,7,14,4,0,2,
1359482,2023,Punjab Kings,Rajasthan Royals,2023-04-05,8,Barsapara Cricket Stadium,Guwahati,Rajasthan Royals,field,NT Ellis,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Punjab Kings,5.0,,Group,Rajasthan Royals,April,5,Wednesday,Punjab Kings,Rajasthan Royals,,5,19,7,0,1,8
1359544,2023,Royal Challengers Bangalore,Gujarat Titans,2023-05-21,70,M Chinnaswamy Stadium,Bengaluru,Gujarat Titans,field,Shubman Gill,Nitin Menon,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,,6.0,Group,Royal Challengers Bangalore,May,21,Sunday,Gujarat Titans,Royal Challengers Bangalore,,4,15,10,0,1,7
1359540,2023,Punjab Kings,Rajasthan Royals,2023-05-19,66,Himachal Pradesh Cricket Association Stadium,Dharamsala,Rajasthan Royals,field,D Padikkal,A Nand Kishore,RJ Tucker,P Joshi,P Dharmani,Rajasthan Royals,,4.0,Group,Punjab Kings,May,19,Friday,Punjab Kings,Rajasthan Royals,,5,17,9,0,1,5
1359491,2023,Rajasthan Royals,Chennai Super Kings,2023-04-12,17,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,R Ashwin,Vinod Seshan,VK Sharma,A Bengeri,J Srinath,Rajasthan Royals,3.0,,Group,Chennai Super Kings,April,12,Wednesday,Rajasthan Royals,Chennai Super Kings,,8,11,7,0,,10
1359504,2023,Gujarat Titans,Lucknow Super Giants,2023-04-22,30,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Gujarat Titans,bat,MM Sharma,A Totre,RJ Tucker,PM Joshi,R Seth,Gujarat Titans,7.0,,Group,Lucknow Super Giants,April,22,Saturday,Lucknow Super Giants,Gujarat Titans,,7,12,2,0,,1
1359505,2023,Punjab Kings,Mumbai Indians,2023-04-22,31,Wankhede Stadium,Mumbai,Mumbai Indians,field,SM Curran,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,Prakash Bhatt,Punjab Kings,13.0,,Group,Mumbai Indians,April,22,Saturday,Mumbai Indians,Punjab Kings,,6,17,11,0,,3
1359523,2023,Mumbai Indians,Chennai Super Kings,2023-05-06,49,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,M Pathirana,BNJ Oxenford,Navdeep Singh,P Joshi,V Narayan Kutty,Chennai Super Kings,,6.0,Group,Chennai Super Kings,May,6,Saturday,Mumbai Indians,Chennai Super Kings,,8,15,1,0,,3
1359526,2023,Rajasthan Royals,Sunrisers Hyderabad,2023-05-07,52,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,GD Phillips,Nitin Menon,Vinod Seshan,VM Dhokre,J Srinath,Sunrisers Hyderabad,,4.0,Group,Rajasthan Royals,May,7,Sunday,Rajasthan Royals,Sunrisers Hyderabad,,2,19,11,0,,5
1359543,2023,Sunrisers Hyderabad,Mumbai Indians,2023-05-21,69,Wankhede Stadium,Mumbai,Mumbai Indians,field,C Green,KN Ananthapadmanabhan,RJ Tucker,P Joshi,P Dharmani,Mumbai Indians,,8.0,Group,Mumbai Indians,May,21,Sunday,Sunrisers Hyderabad,Mumbai Indians,,5,20,7,0,1,6
1359527,2023,Punjab Kings,Kolkata Knight Riders,2023-05-08,53,Eden Gardens,Kolkata,Punjab Kings,bat,AD Russell,A Totre,J Madanagopal,Mohamad Rafi,SS Raul,Kolkata Knight Riders,,5.0,Group,Kolkata Knight Riders,May,8,Monday,Punjab Kings,Kolkata Knight Riders,,7,21,6,0,2,4
1359530,2023,Kolkata Knight Riders,Rajasthan Royals,2023-05-11,56,Eden Gardens,Kolkata,Rajasthan Royals,field,YBK Jaiswal,RJ Tucker,MV Saidharshan Kumar,P Joshi,P Dharmani,Rajasthan Royals,,9.0,Group,Kolkata Knight Riders,May,11,Thursday,Rajasthan Royals,Kolkata Knight Riders,,1,15,10,0,,3
1359511,2023,Rajasthan Royals,Chennai Super Kings,2023-04-27,37,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,YBK Jaiswal,A Totre,YC Barde,Mohamad Rafi,M Nayyar,Rajasthan Royals,32.0,,Group,Rajasthan Royals,April,27,Thursday,Chennai Super Kings,Rajasthan Royals,,6,13,7,0,,1
1359481,2023,Delhi Capitals,Gujarat Titans,2023-04-04,7,Arun Jaitley Stadium,Delhi,Gujarat Titans,field,B Sai Sudharsan,A Nand Kishore,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Gujarat Titans,,6.0,Group,Delhi Capitals,April,4,Tuesday,Gujarat Titans,Delhi Capitals,,4,15,5,0,2,4
1359508,2023,Delhi Capitals,Sunrisers Hyderabad,2023-04-24,34,Rajiv Gandhi International Stadium,Hyderabad,Delhi Capitals,bat,AR Patel,J Madanagopal,RJ Tucker,PM Joshi,R Seth,Delhi Capitals,7.0,,Group,Sunrisers Hyderabad,April,24,Monday,Sunrisers Hyderabad,Delhi Capitals,,6,13,1,0,1,
1359513,2023,Kolkata Knight Riders,Gujarat Titans,2023-04-29,39,Eden Gardens,Kolkata,Gujarat Titans,field,J Little,NA Patwardhan,GR Sadashiv Iyer,M Krishnadas,SA Satbhai,Gujarat Titans,,7.0,Group,Kolkata Knight Riders,April,29,Saturday,Kolkata Knight Riders,Gujarat Titans,,7,12,12,0,,3
1359543,2023,Sunrisers Hyderabad,Mumbai Indians,2023-05-21,69,Wankhede Stadium,Mumbai,Mumbai Indians,field,C Green,KN Ananthapadmanabhan,RJ Tucker,P Joshi,P Dharmani,Mumbai Indians,,8.0,Group,Mumbai Indians,May,21,Sunday,Mumbai Indians,Sunrisers Hyderabad,,2,21,10,0,4,1
1359484,2023,Sunrisers Hyderabad,Lucknow Super Giants,2023-04-07,10,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,bat,KH Pandya,J Madanagopal,YC Barde,PM Joshi,M Nayyar,Lucknow Super Giants,,5.0,Group,Lucknow Super Giants,April,7,Friday,Sunrisers Hyderabad,Lucknow Super Giants,,8,10,3,0,,2
1359541,2023,Chennai Super Kings,Delhi Capitals,2023-05-20,67,Arun Jaitley Stadium,Delhi,Chennai Super Kings,bat,RD Gaikwad,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,77.0,,Group,Delhi Capitals,May,20,Saturday,Chennai Super Kings,Delhi Capitals,,3,17,14,0,2,7
1359521,2023,Kolkata Knight Riders,Sunrisers Hyderabad,2023-05-04,47,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,bat,CV Varun,KN Ananthapadmanabhan,MA Gough,P Joshi,V Narayan Kutty,Kolkata Knight Riders,5.0,,Group,Sunrisers Hyderabad,May,4,Thursday,Kolkata Knight Riders,Sunrisers Hyderabad,,9,16,6,0,2,5
1359536,2023,Gujarat Titans,Sunrisers Hyderabad,2023-05-15,62,Narendra Modi Stadium,Ahmedabad,Sunrisers Hyderabad,field,Shubman Gill,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Gujarat Titans,34.0,,Group,Gujarat Titans,May,15,Monday,Sunrisers Hyderabad,Gujarat Titans,,9,13,5,0,,5
1370351,2023,Mumbai Indians,Lucknow Super Giants,2023-05-24,72,MA Chidambaram Stadium,Chennai,Mumbai Indians,bat,Akash Madhwal,BNJ Oxenford,VK Sharma,AK Chaudhary,V Narayan Kutty,Mumbai Indians,81.0,,Eliminator,Chennai Super Kings,May,24,Wednesday,Lucknow Super Giants,Mumbai Indians,,10,9,2,0,,3
1359512,2023,Lucknow Super Giants,Punjab Kings,2023-04-28,38,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,field,MP Stoinis,Nitin Menon,Vinod Seshan,VM Dhokre,Shakti Singh,Lucknow Super Giants,56.0,,Group,Punjab Kings,April,28,Friday,Lucknow Super Giants,Punjab Kings,,5,27,14,0,4,5
1359527,2023,Punjab Kings,Kolkata Knight Riders,2023-05-08,53,Eden Gardens,Kolkata,Punjab Kings,bat,AD Russell,A Totre,J Madanagopal,Mohamad Rafi,SS Raul,Kolkata Knight Riders,,5.0,Group,Kolkata Knight Riders,May,8,Monday,Kolkata Knight Riders,Punjab Kings,,5,20,6,0,,3
1359488,2023,Punjab Kings,Sunrisers Hyderabad,2023-04-09,14,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,S Dhawan,BNJ Oxenford,UV Gandhe,PM Joshi,M Nayyar,Sunrisers Hyderabad,,8.0,Group,Sunrisers Hyderabad,April,9,Sunday,Punjab Kings,Sunrisers Hyderabad,,9,17,6,0,,5
1359513,2023,Kolkata Knight Riders,Gujarat Titans,2023-04-29,39,Eden Gardens,Kolkata,Gujarat Titans,field,J Little,NA Patwardhan,GR Sadashiv Iyer,M Krishnadas,SA Satbhai,Gujarat Titans,,7.0,Group,Kolkata Knight Riders,April,29,Saturday,Gujarat Titans,Kolkata Knight Riders,,3,15,8,0,,3
1359486,2023,Mumbai Indians,Chennai Super Kings,2023-04-08,12,Wankhede Stadium,Mumbai,Chennai Super Kings,field,RA Jadeja,CB Gaffaney,NA Patwardhan,M Kuppuraj,DS Manohar,Chennai Super Kings,,7.0,Group,Mumbai Indians,April,8,Saturday,Chennai Super Kings,Mumbai Indians,,3,14,5,0,,6
1359528,2023,Royal Challengers Bangalore,Mumbai Indians,2023-05-09,54,Wankhede Stadium,Mumbai,Mumbai Indians,field,SA Yadav,HAS Khalid,VK Sharma,VM Dhokre,RS Sodhi,Mumbai Indians,,6.0,Group,Mumbai Indians,May,9,Tuesday,Royal Challengers Bangalore,Mumbai Indians,,6,21,8,0,1,2
